"keyword_slug","facet","label","definition","parent_slug","aliases","programmer_context","content_editor_context","zotonic_evidence","wikidata_id","wikidata_label","priority","source_url"
"tutorial","information_type","Tutorial","A learning-oriented document that guides a newcomer through a complete experience.","","learning guide|lesson","Use for material whose main goal is acquiring a Zotonic skill by following along.","Use for guided first experiences such as creating a page or building a menu.","documentation and cookbook structure","","","core","https://diataxis.fr/tutorials/"
"how_to_guide","information_type","How-to guide","A goal-oriented document that gives practical steps for a specific outcome.","","task guide|procedure","Use when the reader already understands the context and needs an actionable procedure.","Use for focused tasks such as translating a page or scheduling publication.","documentation and cookbook structure","","","core","https://diataxis.fr/how-to-guides/"
"reference","information_type","Reference","An information-oriented description of an API component option syntax or behavior.","","technical reference|lookup","Use for exhaustive factual descriptions of modules APIs models filters and configuration.","Use for lookup material about fields settings buttons and available options.","module docs for actions controllers filters models modules scomps and validators","","","core","https://diataxis.fr/reference/"
"explanation","information_type","Explanation","An understanding-oriented document that explains concepts reasons architecture or trade-offs.","","concept|background","Use for architecture design rationale and conceptual relationships.","Use for background that explains how Zotonic organizes and publishes content.","architecture and developer guide documentation","","","core","https://diataxis.fr/explanation/"
"cookbook_recipe","information_type","Cookbook recipe","A compact reusable solution that combines several Zotonic features for a recognizable situation.","how_to_guide","recipe|example","Use for copyable patterns that cross API or component boundaries.","Use for practical content and site recipes with a visible result.","cookbook documentation","","","core","https://docs.oasis-open.org/dita/v1.2/os/spec/archSpec/dita_technicalContent_InformationTypes.html"
"troubleshooting","information_type","Troubleshooting","A diagnostic document organized around symptoms causes checks and remedies.","how_to_guide","diagnosis|problem solving","Use for failures error messages unexpected state and recovery procedures.","Use for resolving publishing media email login or administration problems.","logging development and status module docs","","","core","https://diataxis.fr/how-to-guides/"
"migration_guide","information_type","Migration guide","A document for moving data configuration or code between versions systems or formats.","how_to_guide","upgrade guide|porting guide","Use for schema code API and deployment migrations.","Use for importing existing content or adapting editorial workflows after an upgrade.","mod_import mod_import_wordpress and site update docs","","","supporting","https://docs.oasis-open.org/dita/v1.2/os/spec/archSpec/dita_technicalContent_InformationTypes.html"
"release_notes","information_type","Release notes","A version-specific record of changes compatibility concerns fixes and upgrade actions.","reference","changelog|version notes","Use for tracking changed APIs behavior dependencies and migration requirements.","Use for changes to the administration interface features and content behavior.","release and upgrade documentation","","","supporting","https://docs.oasis-open.org/dita/v1.2/os/spec/archSpec/dita_technicalContent_InformationTypes.html"
"content_editor","audience","Content editor","A person who creates organizes reviews and publishes site content.","","editor|author|publisher","Signals that code detail should support rather than dominate the explanation.","Primary audience for pages media menus categories translations and publication workflows.","mod_admin mod_menu mod_translation mod_media_exif","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
"site_administrator","audience","Site administrator","A person who configures a Zotonic site users permissions modules and operational settings.","","administrator|site manager","Signals configuration and operational consequences without requiring implementation detail.","Primary audience for users access rules modules email and site settings.","mod_admin_config mod_admin_modules mod_admin_identity mod_admin_stats","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
"frontend_developer","audience","Frontend developer","A programmer who builds templates browser behavior styles and user-facing interactions.","","template developer|web designer","Primary audience for templates filters scomps actions wires and JavaScript integration.","Relevant when explaining how presentation choices affect editing and rendered content.","zotonic_mod_base zotonic_mod_wires zotonic_mod_bootstrap","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
"backend_developer","audience","Backend developer","A programmer who builds Erlang modules models controllers notifications and data behavior.","","Erlang developer|module developer","Primary audience for server-side APIs OTP behavior database access and extension points.","Relevant when server behavior determines fields permissions workflows or integrations.","zotonic_core zotonic_notifier and model module docs","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
"integrator","audience","Integrator","A developer or technical implementer connecting Zotonic to external services protocols and data sources.","","API developer|solution integrator","Primary audience for APIs OAuth MQTT email import export and webhooks.","Relevant when content arrives from or is published to another system.","mod_oauth2 mod_mqtt mod_import mod_export","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
